,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
220,sphere,3,750,0.01,4,10,0.01,2.4960933215296168e-11,19.450361251831055
221,sphere,3,750,0.1,2,5,0.1,6.775653316555638e-07,9.231898307800293
222,sphere,3,750,0.1,3,3,0.01,2.186624004209894e-06,5.6245646476745605
223,sphere,3,750,0.01,4,10,0.1,52.54963574771397,19.40675950050354
224,sphere,3,750,0.1,3,5,0.001,176.41686991169595,9.477548122406006
225,sphere,3,750,0.1,2,10,0.001,497.00240730450736,18.519067525863647
226,sphere,3,750,0.1,3,3,0.1,49.57695698737374,5.90453028678894
227,sphere,3,750,0.1,2,10,0.01,10.843477318684902,18.31874370574951
228,sphere,3,750,0.1,3,5,0.01,4.117380164877009e-06,9.43545937538147
229,sphere,3,750,0.1,4,3,0.001,75.48821066797012,5.812402009963989
230,sphere,3,750,0.1,2,10,0.1,2.2645362423586018e-08,18.31102728843689
231,sphere,3,750,0.1,3,5,0.1,4.379221046269092e-07,9.423943996429443
232,sphere,3,750,0.1,4,3,0.01,3.90268658689918e-06,5.822887182235718
233,sphere,3,750,0.1,4,5,0.001,295.5437526509598,9.722517728805542
234,sphere,3,750,0.1,3,10,0.001,437.7876730408684,19.026015996932983
235,sphere,3,750,0.1,4,3,0.1,128.55028035979723,5.795764207839966
236,sphere,3,750,0.1,4,5,0.01,50.30372849649336,9.736706495285034
237,sphere,3,750,0.1,3,10,0.01,2.088202499425533e-09,18.89667844772339
238,sphere,3,750,0.1,4,5,0.1,2.006274879880052e-06,9.710832118988037
239,sphere,3,750,0.1,3,10,0.1,4.732560658150551e-12,18.76675248146057
240,sphere,3,1000,0.001,2,3,0.001,136.34906480507178,7.37353777885437
241,sphere,3,1000,0.001,2,3,0.01,275.199060295753,14.709016799926758
242,sphere,3,750,0.1,4,10,0.001,318.5728695749164,19.61267375946045
243,sphere,3,1000,0.001,2,5,0.001,424.9767677915731,12.308449268341064
244,sphere,3,1000,0.001,2,3,0.1,95.39475270713814,7.318909645080566
245,sphere,3,750,0.1,4,10,0.01,4.366986326963867e-09,19.424537181854248
246,sphere,3,1000,0.001,2,5,0.01,103.53808390985353,12.281705379486084
247,sphere,3,750,0.1,4,10,0.1,4.928173621675438e-09,19.36968183517456
248,sphere,3,1000,0.001,2,5,0.1,87.79718296265185,12.248982191085815
249,sphere,3,1000,0.001,3,3,0.001,46.96006206353397,7.615673303604126
250,sphere,3,1000,0.001,3,3,0.01,148.37526727445146,15.239543199539185
251,sphere,3,1000,0.001,3,5,0.001,247.1302383073962,12.621653318405151
252,sphere,3,1000,0.001,2,10,0.001,310.85894765508823,24.421284198760986
253,sphere,3,1000,0.001,3,3,0.1,27.08454527222336,7.593760967254639
254,sphere,3,1000,0.001,3,5,0.01,45.98527321277824,12.558322191238403
255,sphere,3,1000,0.001,2,10,0.01,149.12242092340216,24.62162756919861
256,sphere,3,1000,0.001,3,5,0.1,168.94307992007754,12.725587844848633
257,sphere,3,1000,0.001,4,3,0.001,12.212150227783242,7.756535291671753
258,sphere,3,1000,0.001,2,10,0.1,37.21751824939902,24.67816734313965
259,sphere,3,1000,0.001,4,3,0.01,115.3746040251381,7.771792411804199
260,sphere,3,1000,0.001,3,10,0.001,181.176026596682,25.14935326576233
261,sphere,3,1000,0.001,4,5,0.001,221.4437835128653,12.817659854888916
262,sphere,3,1000,0.001,4,3,0.1,222.8557931790524,7.795901775360107
263,sphere,3,1000,0.001,3,10,0.01,64.25596975060236,25.078322887420654
264,sphere,3,1000,0.001,4,5,0.01,8.763809017319203e-11,13.001705884933472
265,sphere,3,1000,0.01,2,3,0.001,166.00182712514564,7.3109071254730225
266,sphere,3,1000,0.001,3,10,0.1,22.321433566795612,25.41166615486145
267,sphere,3,1000,0.001,4,5,0.1,97.7268375544458,12.954617977142334
268,sphere,3,1000,0.01,2,3,0.01,61.53619526399875,7.297388076782227
269,sphere,3,1000,0.01,2,5,0.001,688.8501454438873,12.230457305908203
270,sphere,3,1000,0.001,4,10,0.001,111.7048471918108,25.9898464679718
271,sphere,3,1000,0.01,2,3,0.1,65.76229323779701,7.422994375228882
272,sphere,3,1000,0.01,2,5,0.01,7.325806953785746e-09,12.289060354232788
273,sphere,3,1000,0.001,4,10,0.01,117.4580686833119,26.244199991226196
274,sphere,3,1000,0.01,3,3,0.001,340.8053549061816,7.502091884613037
275,sphere,3,1000,0.01,2,5,0.1,14.465181855031185,12.253906011581421
276,sphere,3,1000,0.001,4,10,0.1,126.22080038596044,25.964598655700684
277,sphere,3,1000,0.01,3,3,0.01,387.491304237472,7.554671287536621
278,sphere,3,1000,0.01,2,10,0.001,671.8361200082918,24.53378677368164
279,sphere,3,1000,0.01,3,5,0.001,48.93644569359527,12.704646348953247
280,sphere,3,1000,0.01,3,3,0.1,176.40125224517584,7.575652360916138
281,sphere,3,1000,0.01,2,10,0.01,29.920037652793937,24.496880292892456
282,sphere,3,1000,0.01,3,5,0.01,68.8166569042295,12.738152503967285
283,sphere,3,1000,0.01,4,3,0.001,363.8628594019343,7.759999752044678
284,sphere,3,1000,0.01,3,5,0.1,131.21509648920565,12.593126058578491
285,sphere,3,1000,0.01,2,10,0.1,2.2940624822680795e-10,24.42911148071289
286,sphere,3,1000,0.01,4,5,0.001,233.0190948227628,12.954060316085815
287,sphere,3,1000,0.01,4,3,0.01,1.5119541622976396e-08,7.704535961151123
288,sphere,3,1000,0.01,3,10,0.001,284.1829774584953,25.385972499847412
289,sphere,3,1000,0.01,4,3,0.1,97.42756196952688,7.719862699508667
290,sphere,3,1000,0.01,3,10,0.01,1.139536679742926e-07,25.20307970046997
291,sphere,3,1000,0.01,4,5,0.01,117.56568073711496,13.513600587844849
292,sphere,3,1000,0.1,2,3,0.001,95.34811906601078,7.780809164047241
293,sphere,3,1000,0.01,4,5,0.1,188.10595713977096,13.58141541481018
294,sphere,3,1000,0.01,3,10,0.1,4.691451639055945e-09,25.8292076587677
295,sphere,3,1000,0.1,2,3,0.01,58.010878627300805,7.945069313049316
296,sphere,3,1000,0.1,2,5,0.001,379.54050674020704,13.012083053588867
297,sphere,3,1000,0.01,4,10,0.001,219.30968178712249,26.498873949050903
298,sphere,3,1000,0.1,2,3,0.1,115.91744150798392,7.362658739089966
299,sphere,3,1000,0.1,2,5,0.01,2.078292222738527e-05,12.42784309387207
300,sphere,3,1000,0.01,4,10,0.01,53.030031511862006,26.477554321289062
301,sphere,3,1000,0.1,3,3,0.001,201.71736972556377,7.648961067199707
302,sphere,3,1000,0.1,2,5,0.1,129.39328002769955,12.299539804458618
303,sphere,3,1000,0.01,4,10,0.1,2.284552796212873e-07,26.79518699645996
304,sphere,3,1000,0.1,3,3,0.01,93.76093091979226,7.61391544342041
305,sphere,3,1000,0.1,3,5,0.001,196.9359126034922,12.735437631607056
306,sphere,3,1000,0.1,2,10,0.001,550.7409478150428,25.32639169692993
307,sphere,3,1000,0.1,3,3,0.1,162.3756649210817,7.586798906326294
308,sphere,3,1000,0.1,2,10,0.01,6.356739803295505e-08,24.59484052658081
309,sphere,3,1000,0.1,3,5,0.01,2.070493891818462e-06,12.63471245765686
310,sphere,3,1000,0.1,4,3,0.001,328.75833112145256,7.830956220626831
311,sphere,3,1000,0.1,2,10,0.1,187.757437228287,24.51912760734558
312,sphere,3,1000,0.1,3,5,0.1,1.5717612829707962e-06,12.644354581832886
313,sphere,3,1000,0.1,4,3,0.01,1.5883165708410752e-06,7.726903200149536
314,sphere,3,1000,0.1,4,5,0.001,404.8373822303743,12.926555871963501
315,sphere,3,1000,0.1,3,10,0.001,297.23037175471904,25.2685444355011
316,sphere,5,250,0.001,2,3,0.001,1786.9198560661605,3.049192190170288
317,sphere,3,1000,0.1,4,3,0.1,36.94709075333698,10.774834156036377
318,sphere,3,1000,0.1,4,5,0.01,7.792471840005063e-07,13.06908893585205
319,sphere,5,250,0.001,2,5,0.001,2447.6165047734476,18.136162757873535
320,sphere,3,1000,0.1,3,10,0.01,4.857131317030703e-09,25.39119863510132
321,sphere,5,250,0.001,2,3,0.01,438.9307078034796,3.04565691947937
322,sphere,5,250,0.001,2,3,0.1,316.37243319758943,6.128442049026489
323,sphere,5,250,0.001,2,5,0.01,281.790784363133,5.150585651397705
324,sphere,3,1000,0.1,3,10,0.1,2.4328867612139587e-10,25.26763415336609
325,sphere,3,1000,0.1,4,5,0.1,2.534641398413061e-06,12.893131971359253
326,sphere,5,250,0.001,2,5,0.1,1073.083675382718,17.972013473510742
327,sphere,5,250,0.001,2,10,0.001,2523.5640722738613,10.186087608337402
328,sphere,5,250,0.001,3,3,0.001,1594.4255036706795,3.1787142753601074
329,sphere,3,1000,0.1,4,10,0.001,277.3863283196597,25.86036252975464
330,sphere,5,250,0.001,3,3,0.01,1418.590989484316,3.1453919410705566
331,sphere,5,250,0.001,3,5,0.001,914.3493003262914,5.3110785484313965
332,sphere,5,250,0.001,2,10,0.01,467.3234119157977,10.210159301757812
333,sphere,5,250,0.001,3,3,0.1,142.48648238899378,3.155348777770996
334,sphere,5,250,0.001,3,5,0.01,661.8770930114155,5.251920223236084
335,sphere,5,250,0.001,2,10,0.1,619.3190192922488,10.280550003051758
336,sphere,5,250,0.001,4,3,0.001,2005.4554039589807,3.2345798015594482
337,sphere,3,1000,0.1,4,10,0.01,1.3885953990029203e-09,25.9437038898468
338,sphere,5,250,0.001,3,5,0.1,1261.6629673206946,5.2902069091796875
339,sphere,5,250,0.001,3,10,0.001,2329.8794735389783,10.550618171691895
340,sphere,5,250,0.001,4,3,0.01,1522.978488781377,3.290869951248169
